country_code,country_name,parent_handle,parent_title,option_names,variant_label,variant_sku,retail_price,compare_at_price,catalog_handle
EC,Ecuador,pulsera-san-benito-protector,Pulsera San Benito Protector,Medida,Mediana,,47.0,89.0,pulsera-san-benito-protector--mediana
EC,Ecuador,pulsera-serpiente-hombre,Pulsera Serpiente Hombre,Medida,4mm/20cm,52287,39.0,60.0,pulsera-serpiente-hombre--4mm-20cm
EC,Ecuador,pulsera-serpiente-hombre,Pulsera Serpiente Hombre,Medida,6mm/20cm,52300,42.0,66.0,pulsera-serpiente-hombre--6mm-20cm
EC,Ecuador,pulsera-serpiente-hombre,Pulsera Serpiente Hombre,Medida,8mm/20cm,52320,55.0,79.0,pulsera-serpiente-hombre--8mm-20cm
EC,Ecuador,pulsera-veneciana-hombre,Pulsera Veneciana Hombre,Medida,3mm/20cm,52693,39.0,52.0,pulsera-veneciana-hombre--3mm-20cm
EC,Ecuador,pulsera-veneciana-hombre,Pulsera Veneciana Hombre,Medida,4mm/20cm,52695,42.0,60.0,pulsera-veneciana-hombre--4mm-20cm
EC,Ecuador,pulsera-veneciana-hombre,Pulsera Veneciana Hombre,Medida,6mm/20cm,52700,55.0,66.0,pulsera-veneciana-hombre--6mm-20cm
EC,Ecuador,topo-chispa,Topo Chispa,Color,Cristal,,19.0,40.0,topo-chispa--cristal
EC,Ecuador,topo-chispa,Topo Chispa,Color,Verde,,19.0,40.0,topo-chispa--verde
EC,Ecuador,copia-de-candonga-bambu,Topos Balín,TAMAÑ0,Topos 2mm,33032,15.0,,copia-de-candonga-bambu--topos-2mm
EC,Ecuador,copia-de-candonga-bambu,Topos Balín,TAMAÑ0,Topos 4mm,33034,19.0,,copia-de-candonga-bambu--topos-4mm
EC,Ecuador,copia-de-candonga-bambu,Topos Balín,TAMAÑ0,Topos 6mm,34011,22.0,,copia-de-candonga-bambu--topos-6mm
EC,Ecuador,copia-de-candonga-bambu,Topos Balín,TAMAÑ0,Topos 8mm,34012,25.0,,copia-de-candonga-bambu--topos-8mm
EC,Ecuador,copia-de-candonga-bambu,Topos Balín,TAMAÑ0,COMBO X3,,45.0,60.0,copia-de-candonga-bambu--combo-x3
EC,Ecuador,copia-de-candonga-bambu,Topos Balín,TAMAÑ0,COMBO X4,33032 - 33034 - 34011 -34012,49.0,65.0,copia-de-candonga-bambu--combo-x4
ES,España,cadena-cartier-hombre,Cadena 3x1 Hombre,Medida,4mm/65cm,42498,60.0,80.0,cadena-cartier-hombre--4mm-65cm
ES,España,cadena-cartier-hombre,Cadena 3x1 Hombre,Medida,6mm/65cm,42500,70.0,95.0,cadena-cartier-hombre--6mm-65cm
ES,España,cadena-cartier-hombre,Cadena 3x1 Hombre,Medida,8mm/65cm,42520,80.0,109.0,cadena-cartier-hombre--8mm-65cm
ES,España,cadena-china-45-cm,Cadena China 45 cm,MEDIDA,CADENA DAMA 45 CM,43886,64.0,85.0,cadena-china-45-cm--cadena-dama-45-cm
ES,España,cadena-china-45-cm,Cadena China 45 cm,MEDIDA,CADENA CABALLERO 60,43888,84.0,112.0,cadena-china-45-cm--cadena-caballero-60
ES,España,cadena-chinesa-hombre,Cadena Chinesca Hombre,Medida,4mm/65cm,44883,60.0,110.0,cadena-chinesa-hombre--4mm-65cm
