Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
cadena-cartier-hombre-1,CADENA ESLABON HOMBRE,"Cadena de Oro Laminado Italiano 18K con diseño clásico y acabado brillante. Perfecta para usar sola o con otros accesorios, combina elegancia y durabilidad. Una pieza resistente que mantiene su belleza a lo largo del tiempo, ideal para realzar cualquier look. Todas nuestras joyas son contramarcadas en sus broches (con 18K).Incluye:Cadena Cartier de 65 cms disponible en 2 medidas (6mm y 7mm).",Tienda 🇨🇱,Sin categoría,Otro,"",true,Medida,6mm/65cm,,,,,,,,'42500,0.0,shopify,deny,manual,24120,,true,false,,,,,79973-29585,https://cdn.shopify.com/s/files/1/0779/4733/8972/files/CADENA_CARTIER_7MM.jpg?v=1772157555,1,"",false,,,,kg,,,active
cadena-cartier-hombre-1,,,,,,,,,7mm/65cm,,,,,,,,'42520,0.0,shopify,deny,manual,26392,,true,false,,,,,79973-29586,,,,,,,,kg,,,
china-65cm-4mm-dije-cruz,Oferta HOY (Chinesca 65cm 4mm + Dije Gratis),"<h3 data-mce-fragment=""1""><span><strong data-mce-fragment=""1"">PAGAS AL MOMENTO DE RECIBIR</strong></span></h3>
<p data-mce-fragment=""1""><strong data-mce-fragment=""1"">GARANTÍA ❗💯 ( INCLUYE TARJETA DE GARANTIA )</strong><br data-mce-fragment=""1"">Nuestras Joyas son producidas de acuerdo con las más estrictas normas internacionales de calidad, cuenta con 1 año de garantía:<br data-mce-fragment=""1"">☑️Nuestro producto no se oxida<br data-mce-fragment=""1"">☑️No se Pela, ni raspa<br data-mce-fragment=""1"">☑️No cambia de tonalidad, ni se pone negro.<br data-mce-fragment=""1""><br data-mce-fragment=""1"">Todas nuestras joyas son cubiertas con 3 capas de oro 18K PURO, son resistentes al agua de mar, piscinas y sudoración  100% garantizado</p>
<p data-mce-fragment=""1""> </p>
<p data-mce-fragment=""1""><img alt="""" src=""https://cdn.shopify.com/s/files/1/0604/0594/0465/files/IMAGENPUBLICIDAD_480x480.jpg?v=1668868840""></p>",ITALUX JOYERÍA,Sin categoría,"","",true,Title,Default Title,,,,,,,,44883 - 25221,500.0,shopify,continue,manual,64500,105000,true,false,,,,,,https://cdn.shopify.com/s/files/1/0779/4733/8972/files/DSC_0484.jpg?v=1783193887,1,"",false,,,,kg,,,active
china-65cm-4mm-dije-cruz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0779/4733/8972/files/DSC_0493.jpg?v=1783193888,2,"",,,,,,,,
china-65cm-4mm-dije-cruz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0779/4733/8972/files/DSC_0503.jpg?v=1783193888,3,"",,,,,,,,
china-65cm-4mm-dije-cruz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0779/4733/8972/files/DSC_0509.jpg?v=1783193887,4,"",,,,,,,,
cadena-lazo-rostro-tallado-pulsera-gratis,Cadena Lazo + Rostro Tallado (PULSERA GRATIS),"<p><strong>GARANTÍA ❗💯 ( INCLUYE TARJETA DE GARANTIA )</strong><br>Nuestras Joyas son producidas de acuerdo con las más estrictas normas internacionales de calidad, cuenta con garantía de por vida:<br>☑️Nuestro producto no se oxida<br>☑️No se Pela, ni raspa<br>☑️No cambia de tonalidad, ni se pone negro.<br><br>Todas nuestras joyas son cubiertas con 3 capas de oro 18K PURO, son resistentes al agua de mar, piscinas y sudoración  100% garantizado</p>
<p><img src=""https://cdn.shopify.com/s/files/1/0828/3540/7145/files/IMAGENPUBLICIDAD_480x480.jpg?v=1698464186"" alt=""""></p>",ITALUX JOYERÍA,Sin categoría,"","",true,QUIERO,EL COMBO,,,,,,,,42793 + 24557 + 52793,500.0,shopify,continue,manual,84900,129900,true,false,,,,,,https://cdn.shopify.com/s/files/1/0779/4733/8972/files/5d22c799-55fe-408a-95a6-fd9dac367e62.jpg?v=1783193885,1,"",false,,,,kg,,,active
cadena-lazo-rostro-tallado-pulsera-gratis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0779/4733/8972/files/Cadena_lazo_4mm_75ef278d-dc69-403b-b2dc-2acffdb5a253.png?v=1783193886,2,"",,,,,,,,
cadena-lazo-rostro-tallado-pulsera-gratis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0779/4733/8972/files/DIJE_ROSTRO_66eb8571-54da-4b7f-8217-b50e7eae3efe.png?v=1783193886,3,"",,,,,,,,
cadena-lazo-rostro-tallado-pulsera-gratis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0779/4733/8972/files/IMG_4780.jpg?v=1783193886,4,"",,,,,,,,
