pais,codigo,titulo_tienda,sku_tienda,handle,precio_retail_tienda,motivo,sugerencia_excel_nombre,sugerencia_excel_sku,sugerencia_parecido,sugerencia_mayorista_excel
COLOMBIA,CO,Pulsera Egipcia Hombre,(vacío),pulsera-egipcia-hombre,129500.0,sin_sku,P. EGIPCIA 3mm  18cm,53488,0.4,66800
COLOMBIA,CO,Pulsera Egipcia Mujer,(vacío),pulsera-egipcia-mujer,105000.0,sin_sku,P. EGIPCIA 3mm  18cm,53488,0.4,66800
COLOMBIA,CO,Pulsera Entrelazada Hombre 6mm,(vacío),pulsera-entrelazada-hombre-6mm,105000.0,sin_sku,P. GRABADA  6mm  20cm,51200,0.33,80800
COLOMBIA,CO,Pulsera Entrelazada Mujer 3mm,(vacío),pulsera-entrelazada-mujer-3mm,89950.0,sin_sku,P. CUBANA 3mm  18cm,52387,0.33,88400
COLOMBIA,CO,Pulsera Eslabon Hombre,(vacío),pulsera-cartier-hombre,139900.0,sin_sku,P. GRABADA   4mm  20cm,51189,0.17,74399.99999999999
COLOMBIA,CO,Pulsera Eslabon Mujer,(vacío),pulsera-cartier-mujer,89950.0,sin_sku,P. GRABADA   4mm  20cm,51189,0.17,74399.99999999999
COLOMBIA,CO,Pulsera Franco Hombre,(vacío),cadena-china-65cm-copia-1,105000.0,sin_sku,P. FRANCO 4mm  20cm,53195,0.4,100800
COLOMBIA,CO,Pulsera Grabada Hombre,(vacío),pulsera-grabada-hombre,114800.0,sin_sku,P. GRABADA   4mm  20cm,51189,0.4,74399.99999999999
COLOMBIA,CO,Pulsera Grano de Cafe Mujer 5mm,(vacío),pulsera-gucci-mujer5mm,89950.0,sin_sku,P. GRANO DE CAFE 6mm  18cm,52892,0.43,92800
COLOMBIA,CO,Pulsera Grano de Café Hombre,(vacío),pulsera-granocafe-hombre,150000.0,sin_sku,P. GRANO DE CAFE 6mm  18cm,52892,0.5,92800
COLOMBIA,CO,Pulsera Lazo Hombre,(vacío),pulsera-lazo-hombre,114800.0,sin_sku,P. LAZO 2mm  18cm,52782,0.4,58800.000000000015
COLOMBIA,CO,Pulsera Serpiente Hombre,(vacío),pulsera-serpiente-hombre,114800.0,sin_sku,P. SERPIENTE 4mm  20cm,52287,0.4,74399.99999999999
